Month of Order Date,Product Name,Sales
2013,"#10 White Business Envelopes,4 1/8 x 9 1/2",156.0
2013,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",63.0
2013,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",23.0
2013,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",541.0
2013,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",6.0
2013,12 Colored Short Pencils,6.0
2013,12-1/2 Diameter Round Wall Clock,64.0
2013,2300 Heavy-Duty Transfer File Systems by Perma,100.0
2013,"24 Capacity Maxi Data Binder Racks, Pearl",505.0
2013,24-Hour Round Wall Clock,140.0
2013,3-ring staple pack,6.0
2013,3.6 Cubic Foot Counter Height Office Refrigerator,177.0
2013,"3D Systems Cube Printer, 2nd Generation, White",1300.0
2013,3M Hangers With Command Adhesive,22.0
2013,3M Organizer Strips,13.0
2013,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822.0
2013,4009 Highlighters by Sanford,52.0
2013,50 Colored Long Pencils,30.0
2013,9-3/4 Diameter Round Wall Clock,168.0
2013,"ACCOHIDE 3-Ring Binder, Blue, 1""",34.0
2013,ACCOHIDE Binder by Acco,17.0
2013,APC 7 Outlet Network SurgeArrest Surge Protector,241.0
2013,ARKON Windshield Dashboard Air Vent Car Mount Holder,41.0
2013,AT&T 1070 Corded Phone,624.0
2013,AT&T 1080 Corded phone,767.0
2013,AT&T 17929 Lendline Telephone,181.0
2013,AT&T 841000 Phone,124.0
2013,AT&T CL2909,604.0
2013,AT&T CL82213,220.0
2013,AT&T EL51110 DECT,378.0
2013,AT&T SB67148 SynJ,106.0
2013,AT&T TR1909W,1436.0
2013,Aastra 57i VoIP phone,162.0
2013,Acco 3-Hole Punch,45.0
2013,Acco 6 Outlet Guardian Basic Surge Suppressor,38.0
2013,Acco 6 Outlet Guardian Premium Surge Suppressor,168.0
2013,Acco 6 Outlet Guardian Standard Surge Suppressor,89.0
2013,"Acco Banker's Clasps, 5 3/4""-Long",7.0
2013,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",6.0
2013,Acco D-Ring Binder w/DublLock,49.0
2013,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",21.0
2013,Acco Economy Flexible Poly Round Ring Binder,4.0
2013,Acco Expandable Hanging Binders,6.0
2013,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",52.0
2013,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.0
2013,Acco Hanging Data Binders,6.0
2013,Acco Hot Clips Clips to Go,13.0
2013,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",29.0
2013,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",6.0
2013,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",9.0
2013,Acco Perma 3000 Stacking Storage Drawers,248.0
2013,Acco Perma 4000 Stacking Storage Drawers,91.0
2013,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",6.0
2013,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",18.0
2013,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",14.0
2013,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",30.0
2013,Acco Side-Punched Conventional Columnar Pads,37.0
2013,"Acco Six-Outlet Power Strip, 4' Cord Length",41.0
2013,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,211.0
